name,x,y,z
P1,-73.16680714,-64.39118598,893.3141717
P1,-73.16680714,-64.39118598,893.3141717
P1,-73.13032175,-64.38717304,893.8400531
P1,-77.72337219,-63.83226007,894.8907114
P1,-77.75955353,-63.83623956,894.3692123
P1,-73.09383636,-64.38316011,894.3659346
P1,-77.75955353,-63.83623956,894.3692123
P1,-73.16680714,-64.39118598,893.3141717
P1,-77.72337219,-63.83226007,894.8907114
P1,-73.16680714,-64.39118598,893.3141717
P2,-68.45753416,34.99173026,892.0088019
P2,-68.45753416,34.99173026,892.0088019
P2,-68.45753416,34.99173026,892.0088019
P2,-68.45753416,34.99173026,892.0088019
P2,-73.09196346,34.72020247,893.6095594
P2,-73.09196346,34.72020247,893.6095594
P2,-68.45753416,34.99173026,892.0088019
P2,-68.45753416,34.99173026,892.0088019
P2,-73.09196346,34.72020247,893.6095594
P2,-68.42073957,34.9957772,892.53914
P3,-66.19622495,35.47864727,993.0011582
P3,-66.19622495,35.47864727,993.0011582
P3,-70.84707929,34.15583974,993.2334534
P3,-66.19622495,35.47864727,993.0011582
P3,-66.19622495,35.47864727,993.0011582
P3,-70.84707929,34.15583974,993.2334534
P3,-66.23271034,35.47463433,992.4752767
P3,-66.19622495,35.47864727,993.0011582
P3,-66.19622495,35.47864727,993.0011582
P3,-66.19622495,35.47864727,993.0011582
P4,-75.45878434,-64.61434027,993.6885929
P4,-75.42290201,-64.61039367,994.2057822
P4,-75.42290201,-64.61039367,994.2057822
P4,-75.45878434,-64.61434027,993.6885929
P4,-70.88511793,-64.12564098,993.4620263
P4,-75.42290201,-64.61039367,994.2057822
P4,-75.45878434,-64.61434027,993.6885929
P4,-66.19811778,-64.67900641,993.7655799
P4,-75.45878434,-64.61434027,993.6885929
P4,-66.19811778,-64.67900641,993.7655799
P5,26.98873384,-64.73712133,991.7762939
P5,26.94616756,-64.74180308,991.1627655
P5,20.70773041,-64.08258691,992.6570963
P5,26.98873384,-64.73712133,991.7762939
P5,33.43712474,-64.15770415,991.4881722
P5,26.98873384,-64.73712133,991.7762939
P5,33.43710126,-65.39988871,991.4976528
P5,26.98873384,-64.73712133,991.7762939
P5,20.62342436,-64.09185952,991.4419527
P5,26.98873384,-64.73712133,991.7762939
P6,26.99059346,33.66338053,991.025283
P6,33.4819905,35.2217882,991.3493285
P6,26.99059346,33.66338053,991.025283
P6,27.03315975,33.66806228,991.6388114
P6,33.43900277,35.21706009,990.7297256
P6,26.99059346,33.66338053,991.025283
P6,26.99059346,33.66338053,991.025283
P6,27.03315975,33.66806228,991.6388114
P6,26.99059346,33.66338053,991.025283
P6,33.4819905,35.2217882,991.3493285
P7,33.06953857,34.78314396,890.3099995
P7,20.22257706,34.14898728,893.4648818
P7,33.11295618,34.78791935,890.9357985
P7,26.51797736,34.45583405,890.9736545
P7,33.02612095,34.77836856,889.6842006
P7,26.56096509,34.46056217,891.5932574
P7,26.51797736,34.45583405,890.9736545
P7,26.56096509,34.46056217,891.5932574
P7,26.56096509,34.46056217,891.5932574
P7,26.56096509,34.46056217,891.5932574
P8,46.43895463,-65.69345369,887.7982402
P8,39.66385021,-65.00763714,889.1327938
P8,39.66385021,-65.00763714,889.1327938
P8,46.43895463,-65.69345369,887.7982402
P8,46.43895463,-65.69345369,887.7982402
P8,46.35034725,-65.70319939,886.5210995
P8,39.66385021,-65.00763714,889.1327938
P8,39.66385021,-65.00763714,889.1327938
P8,46.39465094,-65.69832654,887.1596698
P8,46.43895463,-65.69345369,887.7982402
