name,x,y,z
P1,2.882824693,88.66024879,558.6066061
P1,2.882824693,88.66024879,558.6066061
P1,2.882824693,88.13308789,558.6066061
P1,2.336033263,87.3986455,553.9515511
P1,2.336033263,87.92141339,553.9515511
P1,2.882824693,87.605927,558.6066061
P1,2.336033263,87.92141339,553.9515511
P1,2.882824693,88.66024879,558.6066061
P1,2.336033263,87.3986455,553.9515511
P1,2.882824693,88.66024879,558.6066061
P2,-96.50724864,88.87997847,563.3405604
P2,-96.50724864,88.87997847,563.3405604
P2,-96.50724864,88.87997847,563.3405604
P2,-96.50724864,88.87997847,563.3405604
P2,-96.22342426,87.605927,558.6066061
P2,-96.22342426,87.605927,558.6066061
P2,-96.50724864,88.87997847,563.3405604
P2,-96.50724864,88.87997847,563.3405604
P2,-96.22342426,87.605927,558.6066061
P2,-96.50724864,88.34835011,563.3405604
P3,-96.22342426,-12.02748286,558.6066061
P3,-96.22342426,-12.02748286,558.6066061
P3,-94.8987945,-11.92725383,553.9515511
P3,-96.22342426,-12.02748286,558.6066061
P3,-96.22342426,-12.02748286,558.6066061
P3,-94.8987945,-11.92725383,553.9515511
P3,-96.22342426,-11.50032196,558.6066061
P3,-96.22342426,-12.02748286,558.6066061
P3,-96.22342426,-12.02748286,558.6066061
P3,-96.22342426,-12.02748286,558.6066061
P4,3.872069689,-11.31023399,549.3734391
P4,3.872069689,-11.82868149,549.3734391
P4,3.872069689,-11.82868149,549.3734391
P4,3.872069689,-11.31023399,549.3734391
P4,3.381569046,-11.40448594,553.9515511
P4,3.872069689,-11.82868149,549.3734391
P4,3.872069689,-11.31023399,549.3734391
P4,3.937146491,-12.02748286,558.6066061
P4,3.872069689,-11.31023399,549.3734391
P4,3.937146491,-12.02748286,558.6066061
P5,3.978316524,-16.49214753,651.7077072
P5,3.978316524,-15.87712648,651.7077072
P5,3.330642122,-16.94107956,645.3804479
P5,3.978316524,-16.49214753,651.7077072
P5,3.396595431,-16.65543612,658.1602587
P5,3.978316524,-16.49214753,651.7077072
P5,4.638816162,-16.65543612,658.1602587
P5,3.978316524,-16.49214753,651.7077072
P5,3.330642122,-15.72297962,645.3804479
P5,3.978316524,-16.49214753,651.7077072
P6,-94.42505123,-16.49214753,651.7077072
P6,-95.98106309,-17.27654648,658.1602587
P6,-94.42505123,-16.49214753,651.7077072
P6,-94.42505123,-17.10716857,651.7077072
P6,-95.98106309,-16.65543612,658.1602587
P6,-94.42505123,-16.49214753,651.7077072
P6,-94.42505123,-16.49214753,651.7077072
P6,-94.42505123,-17.10716857,651.7077072
P6,-94.42505123,-16.49214753,651.7077072
P6,-95.98106309,-17.27654648,658.1602587
P7,-96.31355226,83.54944463,664.7418613
P7,-95.65509333,81.29619918,651.7077072
P7,-96.31355226,82.92212316,664.7418613
P7,-95.98106309,83.34333278,658.1602587
P7,-96.31355226,84.1767661,664.7418613
P7,-95.98106309,82.72222241,658.1602587
P7,-95.98106309,83.34333278,658.1602587
P7,-95.98106309,82.72222241,658.1602587
P7,-95.98106309,82.72222241,658.1602587
P7,-95.98106309,82.72222241,658.1602587
P8,4.14069679,85.89465929,678.3080218
P8,3.46521352,85.02703647,671.4564256
P8,3.46521352,85.02703647,671.4564256
P8,4.14069679,85.89465929,678.3080218
P8,4.14069679,85.89465929,678.3080218
P8,4.14069679,87.17490719,678.3080218
P8,3.46521352,85.02703647,671.4564256
P8,3.46521352,85.02703647,671.4564256
P8,4.14069679,86.53478324,678.3080218
P8,4.14069679,85.89465929,678.3080218
