name,x,y,z
P1,-69.72,-64.99,891.98
P1,-69.72,-64.99,891.98
P1,-69.72,-64.99,891.98
P1,-69.72,-64.99,891.98
P1,-69.72,-64.99,891.98
P1,-69.72,-64.99,891.98
P1,-69.72,-64.99,891.98
P1,-69.72,-64.99,891.98
P1,-69.72,-64.99,891.98
P1,-69.72,-64.99,891.98
P2,-69.72,34.99,891.98
P2,-69.72,34.99,891.98
P2,-69.72,34.99,891.98
P2,-69.72,34.99,891.98
P2,-69.72,34.99,891.98
P2,-69.72,34.99,891.98
P2,-69.72,34.99,891.98
P2,-69.72,34.99,891.98
P2,-69.72,34.99,891.98
P2,-69.72,34.99,891.98
P3,-69.72,34.99,991.94
P3,-69.72,34.99,991.94
P3,-69.72,34.99,991.94
P3,-69.72,34.99,991.94
P3,-69.72,34.99,991.94
P3,-69.72,34.99,991.94
P3,-69.72,34.99,991.94
P3,-69.72,34.99,991.94
P3,-69.72,34.99,991.94
P3,-69.72,34.99,991.94
P4,-69.72,-64.99,991.94
P4,-69.72,-64.99,991.94
P4,-69.72,-64.99,991.94
P4,-69.72,-64.99,991.94
P4,-69.72,-64.99,991.94
P4,-69.72,-64.99,991.94
P4,-69.72,-64.99,991.94
P4,-69.72,-64.99,991.94
P4,-69.72,-64.99,991.94
P4,-69.72,-64.99,991.94
P5,30.33,-64.99,991.94
P5,30.33,-64.99,991.94
P5,30.33,-64.99,991.94
P5,30.33,-64.99,991.94
P5,30.33,-64.99,991.94
P5,30.33,-64.99,991.94
P5,30.33,-64.99,991.94
P5,30.33,-64.99,991.94
P5,30.33,-64.99,991.94
P5,30.33,-64.99,991.94
P6,30.33,34.99,991.94
P6,30.33,34.99,991.94
P6,30.33,34.99,991.94
P6,30.33,34.99,991.94
P6,30.33,34.99,991.94
P6,30.33,34.99,991.94
P6,30.33,34.99,991.94
P6,30.33,34.99,991.94
P6,30.33,34.99,991.94
P6,30.33,34.99,991.94
P7,30.33,34.99,891.98
P7,30.33,34.99,891.98
P7,30.33,34.99,891.98
P7,30.33,34.99,891.98
P7,30.33,34.99,891.98
P7,30.33,34.99,891.98
P7,30.33,34.99,891.98
P7,30.33,34.99,891.98
P7,30.33,34.99,891.98
P7,30.33,34.99,891.98
P8,30.33,-64.99,891.98
P8,30.33,-64.99,891.98
P8,30.33,-64.99,891.98
P8,30.33,-64.99,891.98
P8,30.33,-64.99,891.98
P8,30.33,-64.99,891.98
P8,30.33,-64.99,891.98
P8,30.33,-64.99,891.98
P8,30.33,-64.99,891.98
P8,30.33,-64.99,891.98
