name,x,y,z
P1,-10.67633441,85.2210477,545.286784
P1,-10.67633441,85.2210477,545.286784
P1,-10.18198609,84.98286679,547.1606217
P1,-10.67633441,85.75026583,545.286784
P1,-9.617898145,85.2210477,545.286784
P1,-10.67633441,85.75026583,545.286784
P1,-10.18198609,86.04494029,547.1606217
P1,-10.18198609,84.98286679,547.1606217
P1,-10.18198609,84.98286679,547.1606217
P1,-10.18198609,84.98286679,547.1606217
P2,-109.7088341,85.57098351,550.9472004
P2,-109.7088341,85.57098351,550.9472004
P2,-109.8633957,85.27591116,549.0473825
P2,-109.8633957,84.74304324,549.0473825
P2,-109.8633957,84.74304324,549.0473825
P2,-109.8633957,85.27591116,549.0473825
P2,-109.8633957,85.27591116,549.0473825
P2,-109.7088341,85.57098351,550.9472004
P2,-109.7088341,85.57098351,550.9472004
P2,-109.7088341,85.57098351,550.9472004
P3,-111.2277792,-14.27196082,545.286784
P3,-111.2277792,-14.27196082,545.286784
P3,-111.2277792,-14.27196082,545.286784
P3,-111.3755741,-14.22325105,543.425737
P3,-111.2277792,-14.80117895,545.286784
P3,-111.2277792,-14.27196082,545.286784
P3,-111.2277792,-14.27196082,545.286784
P3,-111.3755741,-14.22325105,543.425737
P3,-111.3755741,-14.22325105,543.425737
P3,-111.2277792,-14.27196082,545.286784
P4,-11.09159777,-15.69833098,539.7414947
P4,-11.09159777,-15.17449473,539.7414947
P4,-11.57619269,-15.64529608,537.9180437
P4,-11.57619269,-15.64529608,537.9180437
P4,-11.57619269,-15.64529608,537.9180437
P4,-11.09159777,-15.17449473,539.7414947
P4,-11.57619269,-15.12322955,537.9180437
P4,-11.09159777,-15.69833098,539.7414947
P4,-11.09159777,-15.69833098,539.7414947
P4,-11.09159777,-15.17449473,539.7414947
P5,-4.416643918,-20.297222,634.3575336
P5,-4.416643918,-20.91288612,634.3575336
P5,-4.416643918,-20.91288612,634.3575336
P5,-3.816183718,-20.99653767,636.8949637
P5,-4.416643918,-20.91288612,634.3575336
P5,-3.816183718,-20.99653767,636.8949637
P5,-4.416643918,-20.91288612,634.3575336
P5,-3.816183718,-21.61466444,636.8949637
P5,-4.416643918,-20.91288612,634.3575336
P5,-3.816183718,-20.99653767,636.8949637
P6,-103.9527215,-19.76028411,636.8949637
P6,-103.9527215,-19.76028411,636.8949637
P6,-103.7495931,-19.83964268,639.4527748
P6,-103.7495931,-19.83964268,639.4527748
P6,-103.7495931,-19.83964268,639.4527748
P6,-103.7495931,-20.4602519,639.4527748
P6,-103.9527215,-19.76028411,636.8949637
P6,-103.7495931,-19.83964268,639.4527748
P6,-103.7495931,-19.83964268,639.4527748
P6,-103.7495931,-19.83964268,639.4527748
P7,-103.1302992,79.79865175,647.2509794
P7,-103.1302992,79.79865175,647.2509794
P7,-103.1302992,79.79865175,647.2509794
P7,-103.338402,79.47558029,644.6305301
P7,-103.1302992,79.79865175,647.2509794
P7,-103.1302992,80.42682937,647.2509794
P7,-103.1302992,79.79865175,647.2509794
P7,-103.338402,79.47558029,644.6305301
P7,-103.338402,79.47558029,644.6305301
P7,-103.1302992,80.42682937,647.2509794
P8,-3.846959393,79.15511424,642.0312134
P8,-3.846959393,79.15511424,642.0312134
P8,-3.236899738,79.47558029,644.6305301
P8,-3.236899738,80.10121467,644.6305301
P8,-3.236899738,79.47558029,644.6305301
P8,-3.236899738,79.47558029,644.6305301
P8,-3.846959393,79.15511424,642.0312134
P8,-3.236899738,80.10121467,644.6305301
P8,-3.236899738,80.10121467,644.6305301
P8,-3.846959393,79.15511424,642.0312134
